"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Login With Last User ifo","Orange HRM","Mon Nov 17 20:37:29 BDT 2025","broken","Mon Nov 17 20:37:29 BDT 2025","TestRunner.LoginWithJson","Login With Json","TestRunner.LoginWithJson","doLoginWithValidCred"
"","9226","Login With Last User ifo","Orange HRM","Mon Nov 17 20:45:09 BDT 2025","passed","Mon Nov 17 20:45:18 BDT 2025","TestRunner.LoginWithJson","Login With Json","TestRunner.LoginWithJson","doLoginWithJson"
"","17876","Enter employee info","Orange HRM","Mon Nov 17 20:44:34 BDT 2025","passed","Mon Nov 17 20:44:52 BDT 2025","TestRunner.PimTestRunner","PIM Test","TestRunner.PimTestRunner","enterPimInfo"
"","8237","Valid credential","Orange HRM","Mon Nov 17 20:44:26 BDT 2025","passed","Mon Nov 17 20:44:34 BDT 2025","TestRunner.PimTestRunner","PIM Test","TestRunner.PimTestRunner","doLoginWithValidCred"
"","6737","Valid credential","Orange HRM","Mon Nov 17 20:44:11 BDT 2025","passed","Mon Nov 17 20:44:18 BDT 2025","TestRunner.LoginTestRunner","Login Test","TestRunner.LoginTestRunner","doLoginWithValidCred"
